source,content
"FAAO 7110.65 2-1-1","This order, FAA Order 7110.65, provides the procedures and phraseology for air traffic control services. All controllers must be familiar with these provisions and use their best judgment in situations not explicitly covered. The primary purpose of the ATC system is to prevent collisions between aircraft and to organize and expedite the flow of air traffic."
"FAAO 7110.65 2-1-2","The primary duty of an air traffic controller is to separate aircraft and issue safety alerts. Secondary responsibilities include providing support to national security and homeland defense activities. Additional services are to be provided to the extent possible, but these duties do not take priority over safety-related functions. Controllers must use good judgment in prioritizing their tasks based on the operational situation."
"FAAO 7110.65 2-1-4","The word 'immediately' should only be used when compliance is required to avoid an imminent situation. The word 'expedite' is used when prompt compliance is required to avoid the development of an imminent situation. When using 'expedite,' the controller must also state the reason for the instruction. For example, 'Expedite your descent, traffic at your 12 o'clock.'"
"FAAO 7110.65 2-1-6","A safety alert must be issued if a controller observes an aircraft in a position that, in their judgment, places it in unsafe proximity to terrain, obstructions, or other aircraft. The alert should identify the threat, for example, 'Low Altitude Alert, check your altitude immediately' or 'Traffic Alert, (call sign), traffic 12 o'clock, 5 miles, opposite direction.' The controller's responsibility for the alert ends when the pilot reports taking corrective action."
"FAAO 7110.65 2-1-8","When a pilot declares 'minimum fuel,' the controller must inform any subsequent control facility of this status. This is not an emergency, but it indicates that the aircraft cannot accept any undue delay. [20, 29] While it does not grant automatic priority, controllers should be alert for any situation that might delay the aircraft. If the pilot requires priority, they must declare an emergency and state fuel remaining in minutes. [20, 29]"
"FAAO 7110.65 2-4-2","Radio frequencies are for specific purposes and must be monitored continuously. Transmissions should be limited to those necessary for air traffic control and air safety. Brevity is important, but not at the expense of clarity. Standard phraseology is crucial for understanding. [23, 30]"
"FAAO 7110.65 2-4-20","Use an aircraft's full call sign on initial contact. After communication is established, the call sign may be abbreviated to the prefix and the last three digits/letters of the registration (e.g., N12345 becomes N345). Do not abbreviate air carrier call signs or any call signs that are similar to others on the frequency to prevent confusion. [26]"
"FAAO 7110.65 3-1-1","The Clearance Delivery position is responsible for issuing departure clearances and ensuring pilots read them back correctly. This includes the cleared route, altitude, and any applicable departure procedures. When traffic management initiatives are in effect, Clearance Delivery must issue 'hold for release' instructions."
"FAAO 7110.65 3-1-4","A departure clearance must be issued and read back verbatim. The clearance must contain the clearance limit (usually the destination airport), a specified route, an initial altitude, and departure instructions, including the departure control frequency and transponder code. This is often remembered by the acronym CRAFT."
"FAAO 7110.65 3-3-1","Ground Control is responsible for the movement of aircraft and vehicles on the airport's movement areas, which includes all taxiways and inactive runways. Instructions must be clear and provide a specific route. For example: 'N12345, taxi to runway 27 via taxiway Alpha, hold short of runway 27.' A readback of all runway hold short instructions is mandatory."
"FAAO 7110.65 3-5-3","When issuing taxi instructions, provide concise and easy-to-understand directions. Use standard taxiway and runway nomenclature. Avoid using ambiguous terms. If there is a possibility of confusion, provide additional information to clarify the intended route. Always obtain a readback of hold short instructions."
"FAAO 7110.65 3-7-1","The Local Controller (Tower) is responsible for operations on the active runway(s). Before clearing an aircraft for takeoff, the controller must visually confirm that the runway is clear of all traffic, vehicles, or obstructions. The correct phraseology is 'Runway [number], Cleared for Takeoff.' [5]"
"FAAO 7110.65 3-8-1","The local controller is responsible for separating aircraft on and in the vicinity of the airport. This includes issuing takeoff and landing clearances, sequencing arriving and departing aircraft, and providing traffic advisories. The local controller must maintain a continuous watch on all flight operations."
"FAAO 7110.65 3-9-4","The instruction 'Line Up and Wait' (LUAW) directs a pilot to taxi onto the specified runway and hold in takeoff position. It is not a takeoff clearance. This instruction should not be used unless the departure is imminent. The controller must state the runway, for example, 'N12345, Runway 27, Line Up and Wait.' [5]"
"FAAO 7110.65 4-2-1","An IFR clearance is required for flight in controlled airspace under Instrument Meteorological Conditions (IMC). The clearance provides a specific route, altitude, and clearance limit. Controllers must issue these clearances in a specific order: Clearance limit, Route of flight, Altitude, Frequency, and Transponder code (CRAFT)."
"FAAO 7110.65 4-3-2","An IFR departure clearance authorizes an aircraft to proceed under instrument flight rules. The clearance will specify a heading or route to fly after takeoff, an initial altitude, and a frequency to contact after departure. The pilot must read back the clearance to the controller."
"FAAO 7110.65 5-4-10","Controllers may approve a pilot's request to deviate from their assigned route or altitude for weather avoidance. When this occurs, the controller must ensure that separation is maintained from other aircraft. The controller should provide vectors or other instructions to help the pilot navigate around the weather."
"FAAO 7110.65 5-5-1","Radar separation is the primary method used to separate aircraft in most airspace. The standard minimum is 5 nautical miles in the en route environment and 3 nautical miles within 40 miles of the radar antenna in the terminal environment. These minima can be increased for various reasons, including for wake turbulence separation between certain aircraft types. [14]"
"FAAO 7110.65 5-5-4","Vertical separation is achieved by assigning different altitudes. The standard is 1,000 feet of separation for aircraft up to and including Flight Level (FL) 410. Above FL410, 2,000 feet is required unless the aircraft are operating in Reduced Vertical Separation Minima (RVSM) airspace, where 1,000 feet is authorized up to FL410."
"FAAO 7110.65 5-6-1","Vectoring is the use of radar-assigned headings to guide an aircraft. Controllers issue vectors for separation, sequencing, noise abatement, or to navigate around weather or airspace. The phraseology is 'Fly heading [degrees],' and the controller should state the purpose of the vector, such as 'Vector for sequence.'"
"FAAO 7110.65 5-9-1","When vectoring an aircraft for an instrument approach, the intercept angle to the final approach course should be no more than 30 degrees. The aircraft should be vectored to join the final approach course at least two miles from the Final Approach Fix (FAF) to allow the pilot to become established on the approach. [45]"
"FAAO 7110.65 7-2-1","Visual separation may be applied by a controller or by a pilot. If tower-applied, the controller must visually see the aircraft and maintain communication with at least one of them. If pilot-applied, the controller must get confirmation from the pilot that they have the other aircraft in sight and will maintain separation. The controller must issue traffic information and an instruction to maintain visual separation. [36, 43, 48]"
"FAAO 7110.65 7-4-1","A visual approach may be authorized when the reported weather is a ceiling of at least 1,000 feet and visibility of 3 miles or greater. The pilot must have either the airport or the preceding aircraft in sight. If following another aircraft, the pilot is responsible for maintaining a safe approach interval and wake turbulence separation. [12, 15]"
"FAAO 7110.65 7-4-4","Special VFR (SVFR) operations may be authorized within the surface area of a controlled airport when weather is below VFR minimums. The pilot must request SVFR, and flight visibility must be at least 1 statute mile. The aircraft must remain clear of clouds. SVFR is only authorized if traffic permits and is not available at all airports. [1, 2, 3, 8]"
"FAAO 7110.65 10-1-1","An emergency can be declared by the pilot, ATC, or other agencies. An aircraft in distress has the right-of-way over all other traffic. The controller must provide maximum assistance, which includes obtaining all necessary information about the emergency and coordinating with other facilities and emergency response services."
"FAAO 7110.65 10-2-4","In the event of a two-way radio communication failure, the controller should attempt to re-establish contact on other available frequencies, including the guard frequency (121.5 MHz). The controller should use all available means, including radar and other aircraft, to determine the pilot's intentions and should assume the pilot will follow standard lost communication procedures."
"AIM 2-3-5","Runway Holding Position Markings consist of four yellow lines, two solid and two dashed. Aircraft must stop before crossing the solid lines when instructed to 'hold short' of a runway. Crossing these markings without an ATC clearance is a runway incursion. An aircraft is not considered clear of the runway until all parts of the aircraft have crossed these markings. [6, 16, 22, 27, 41]"
"AIM 4-1-9","Initial radio contact with an ATC facility should follow the 'Four Ws': Who you are calling, Who you are (full call sign), Where you are, and What you want (request). For example: 'Miami Center, N12345, 20 miles east of the Dolphin VOR, at one zero thousand, request.' This provides the controller with all necessary information in the initial transmission. [23, 34]"
"AIM 4-2-1","Pilots are primarily responsible for wake turbulence avoidance. Wake turbulence is generated by all aircraft but is most severe behind heavy, clean (flaps and gear retracted), and slow aircraft. Controllers apply mandatory separation standards, but pilots should always be aware of the potential hazard, especially during takeoff and landing phases. [17, 25, 28, 39]"
"AIM 4-2-3","Pilots must read back all altitude assignments. When cleared to 'climb and maintain' or 'descend and maintain' an altitude, the pilot is expected to initiate the maneuver promptly. It is good practice for the pilot to report leaving their previously assigned altitude to keep the controller informed."
"AIM 4-3-14","Pilots must have an airport diagram available for taxiing. If at any point the taxi instructions are unclear, the pilot must stop and ask for clarification from ground control. This is a critical procedure to prevent runway incursions."
"AIM 5-4-21","A visual approach is an IFR procedure conducted in VMC. The pilot must have the airport or preceding aircraft in sight, and reported weather must be at least a 1000-foot ceiling and 3 miles visibility. ATC can initiate a visual approach, and it helps to expedite the flow of traffic. [12, 15]"
"AIM 5-4-23","A contact approach must be requested by the pilot; it cannot be initiated by ATC. It requires at least 1-mile flight visibility and the pilot must remain clear of clouds, navigating by visual reference to the ground. The pilot is responsible for obstruction clearance. This approach is riskier and should only be used when the pilot is familiar with the local terrain. [4, 7, 9, 10]"
"AIM 6-1-1","The Pilot in Command (PIC) is the final authority for the operation of the aircraft. In an in-flight emergency requiring immediate action, the PIC may deviate from any rule to the extent necessary to meet that emergency. The pilot must notify ATC of the deviation as soon as possible."
"AIM 6-2-4","If a pilot experiences a two-way radio failure, they should set their transponder to code 7600. Under IFR, the pilot should follow a specific route priority: Assigned, Vectored, Expected, Filed (AVE-F). For altitude, they should fly the highest of: Assigned, Minimum IFR altitude, or Expected (MEA)."
"IVAO US-DIV SOP 1.1","All IVAO members are expected to conduct themselves professionally and realistically. While based on real-world documents like the 7110.65, IVAO procedures may be modified by local SOPs or Letters of Agreement (LOAs) to suit the virtual environment. All participants should be familiar with both real-world and IVAO-specific rules."
"IVAO SOP 2.2.1","Respect and professionalism are mandatory on the IVAO network. Harassment, offensive language, or any form of discrimination is strictly prohibited and can lead to suspension or removal from the network. The goal is to maintain a friendly and educational environment for all members."
"IVAO SOP 4.2.2","Controllers on IVAO must only connect to positions for which they hold the appropriate ATC rating. For example, a controller with an ADC (Approach/Departure Controller) rating can control Tower and Ground, but not a Center (ACC) position. This ensures controllers have the demonstrated knowledge for the complexity of the airspace they are managing."
"IVAO SOP 4.4.1","A handoff is the transfer of control of an aircraft from one controller to another. The transferring controller must ensure the receiving controller has accepted the handoff before instructing the pilot to change frequency. All pertinent information, including any assigned restrictions, must be coordinated. [18, 24, 34, 37, 42]"
"Local SOP ZAB_CTR 3.1","Albuquerque Center (ZAB) has complex airspace with numerous high-altitude sectors. Coordination between sectors is critical, especially for aircraft transitioning through military operating areas (MOAs). Controllers must verify MOA status (hot or cold) and coordinate any crossings with the appropriate military liaison or adjacent sector."
"Phraseology and Communication","Clarity and brevity are key. Use standard ICAO/FAA phraseology. For example, state numbers individually: 'one three three point niner' for 133.9. Acknowledge instructions with your call sign and the instruction, not just 'roger.' 'Roger' means you received the transmission, but it does not confirm you understood or will comply. [5, 23, 30, 31]"
"Airport Operations","The Automatic Terminal Information Service (ATIS) is a continuous broadcast of essential airport information, including weather, active runways, and pertinent NOTAMs. Each broadcast is assigned a phonetic letter (Alpha, Bravo, etc.). Pilots must inform the controller on initial contact that they have received the current ATIS information. [13, 19, 21, 32, 35]"
"Approach/Departure Control","Approach and Departure control services are provided by a TRACON (Terminal Radar Approach Control). [40, 47, 49, 50] Approach controllers sequence arriving aircraft for landing, issuing vectors and altitude assignments to guide them to the final approach course. Departure controllers guide departing aircraft out of the terminal area and integrate them into the en-route structure, ensuring separation from other traffic. [40, 47, 49, 50]"
"Emergency Procedures","The three main emergency transponder codes are 7700 for a general emergency, 7600 for a lost communication, and 7500 for unlawful interference (hijacking). When a controller observes one of these codes, they must immediately take action to ascertain the status of the flight and provide assistance."
"Weather and NOTAM procedures","Controllers must advise pilots of hazardous weather that may impact operations within 150 NM of their sector. This includes SIGMETs, Convective SIGMETs, AIRMETs, and urgent PIREPs. Phraseology should be 'Attention all aircraft, hazardous weather information (type) for (area) is available on HIWAS, Flight Watch, or Flight Service frequencies.'"
"Coordination procedures","A handoff is the process of transferring radar identification, communications, and control of an aircraft to the next controller. The transferring controller initiates a 'flash' on the receiving controller's scope. The receiving controller must accept the handoff before the transferring controller instructs the pilot to change frequency. This ensures there is no loss of control. [18, 24, 34, 37, 42]"
"Training standards and evaluation criteria","IVAO controller training is structured around a rating system, from Student (S1/S2) to Controller (C1) and Senior Controller (C3). Each rating requires passing both a theoretical and a practical exam. Evaluators assess candidates on their knowledge of regulations, phraseology, efficiency, and their ability to manage traffic safely under various workload scenarios."
"Common Trainee Mistake","A common mistake for new Ground Controllers is forgetting to obtain a readback for hold short instructions. This is a critical safety item. If a pilot fails to read back a hold short instruction, the controller MUST restate it and ask for a readback to ensure the instruction was understood and will be complied with."
"Common Trainee Mistake","New Tower controllers sometimes clear an aircraft for takeoff before a preceding landing aircraft is clear of the runway. Per 7110.65 3-9-6, a departing aircraft cannot be cleared for takeoff until the arriving aircraft has landed and taxied off the runway or has passed the runway end if it is a low approach or touch-and-go."
"Advanced Procedure: LAHSO","Land and Hold Short Operations (LAHSO) are procedures where an aircraft is cleared to land and hold short of an intersecting runway, taxiway, or other designated point. This requires specific phraseology and the pilot must accept the LAHSO clearance. For example: 'N12345, Runway 27, Cleared to land, hold short of Runway 33.' The pilot must read back the full clearance."
"Advanced Procedure: Point Out","A 'point out' is a procedure where a controller electronically identifies an aircraft to another controller's scope for coordination purposes, but control is not transferred. This is used when an aircraft will enter another controller's airspace but will not require their control, for example, an aircraft skirting the edge of a sector. The receiving controller must approve the point out."
"FAAO 7110.65 10-2-1","When an aircraft reports an engine failure, the controller must ask the pilot for their intentions. Provide vectors to the nearest suitable airport, considering runway length, weather, and terrain. Clear the airspace for the emergency aircraft and provide all possible assistance, including information on airport conditions and emergency services availability. Phraseology: 'N12345, what are your intentions?'"
"FAAO 7110.65 10-2-6","For a pressurization loss or other situation requiring an emergency descent, the controller must immediately clear the airspace below the aircraft. Broadcast an alert on all relevant frequencies to warn other traffic. The clearance should be open-ended: 'N12345, emergency descent approved. Descend to and maintain the lowest available altitude. Advise passing through altitudes.' Coordinate with all affected sectors."
"FAAO 7110.65 10-1-5","A pilot declaration of 'MINIMUM FUEL' is not an emergency, but indicates an emergency is possible should any undue delay occur. A declaration of 'MAYDAY, MAYDAY, MAYDAY, FUEL EMERGENCY' is a formal emergency. The aircraft is given priority, and the controller must ask for fuel remaining in minutes. This information is critical for determining how long the aircraft can remain airborne."
"FAAO 7110.65 2-1-3","Aircraft engaged in a medical emergency (MEDEVAC) are given priority handling. This includes air ambulances or any flight using the call sign 'MEDEVAC' or 'HOSP'. Controllers should provide the most expeditious routing and handling possible to facilitate the mission. This may involve vectoring other traffic or clearing runways to ensure an unimpeded arrival."
"FAAO 7110.65 10-2-5","When a controller receives information that an aircraft is being hijacked (transponder code 7500 or voice report), they must immediately notify their supervisor and follow facility directives. The controller's primary responsibility is to handle the aircraft as directed and to maintain separation from all other traffic. Do not issue any instructions that could aggravate the situation. Maintain radio silence unless the pilot initiates communication."
"FAAO 7110.65 10-3-1","Search and Rescue (SAR) procedures are initiated when an aircraft is considered overdue. The controller must gather all available information, including the last known position, flight plan route, fuel status, and persons on board (POB). This information is relayed to the appropriate Rescue Coordination Center (RCC) to initiate SAR operations."
"FAAO 7110.65 10-4-4","For an emergency landing, such as a gear-up landing, the controller must alert the Airport Rescue and Fire Fighting (ARFF) services with the aircraft's location, type, fuel status, and nature of the emergency. The controller should clear the designated emergency runway and all intersecting runways, and provide the pilot with any requested information, such as wind and runway conditions."
"FAAO 7110.65 3-11-1","The local controller must coordinate with the ARFF commander during an emergency. The controller provides information on wind, runway conditions, and other air traffic. The ARFF commander advises the controller on the readiness of the emergency equipment and when the runway is clear to be used again. The controller has the final authority on opening or closing the runway."
"AIM 6-4-1","For a lost communication (NORDO) aircraft under IFR in VMC, the pilot is expected to continue the flight under VFR and land as soon as practicable. The controller should monitor the aircraft's track and clear traffic, anticipating a VFR approach and landing at a suitable airport."
"AIM 6-4-1","For a lost communication (NORDO) aircraft under IFR in IMC, the pilot will follow a specific route priority: 1. Assigned (the route assigned in the last ATC clearance), 2. Vectored (if being vectored, fly direct to the fix, route, or airway specified in the vector clearance), 3. Expected (the route ATC has advised to expect), 4. Filed (the route as filed in the flight plan). This is remembered by the acronym AVEF."
"AIM 6-4-1","For a lost communication (NORDO) aircraft under IFR in IMC, the pilot will fly a specific altitude priority, which is the HIGHEST of the following: 1. Minimum altitude for IFR operations (MEA), 2. Expected altitude (the altitude ATC has advised to expect), 3. Assigned altitude (the altitude assigned in the last ATC clearance). This is remembered by the acronym MEA."
"FAAO 7110.65 10-2-4","If a NORDO aircraft is in radar contact and squawking 7600, the controller can attempt to communicate through other means. This includes asking the pilot to make turns to acknowledge instructions or to squawk IDENT. For example: 'N12345, if you can hear me, squawk IDENT.' This can be used to confirm the pilot is receiving transmissions and to issue basic clearances."
"FAAO 7110.65 10-2-3","When an Emergency Locator Transmitter (ELT) signal is heard or reported, the controller must notify the supervisor and provide the ARTCC with the signal's location, strength, and time of first and last reception. The controller should also attempt to solicit assistance from other aircraft in the area to pinpoint the ELT's location."
"AIM 7-5-12","When a pilot reports a bird strike, the controller should ask for the location of the strike and if the aircraft is in any difficulty. The controller must then notify airport operations to have the runway inspected. A general warning should be issued to other aircraft operating in the area about the bird activity."
"FAAO 7110.65 10-2-1","If a pilot reports a hydraulic failure, the controller should anticipate that the aircraft may have difficulty maneuvering and may require a longer runway for landing. The controller should ask the pilot for their specific needs, provide vectors that allow for wide turns, and coordinate with ARFF for a standby response upon landing."
"FAAO 7110.65 9-2-13","Military aircraft often fly in formation. A standard formation is considered a single aircraft for separation purposes, with the lead pilot responsible for the separation within the formation. For non-standard formations (more than 1 mile wide or long), the controller must apply separation to the perimeter of the entire formation."
"FAAO 7110.65 4-3-4","Presidential Temporary Flight Restrictions (TFRs) are highly restrictive. No unauthorized aircraft may enter the TFR. Controllers must be aware of the TFR's dimensions and times. Any aircraft entering the TFR without authorization must be reported immediately to security services. The controller's role is to vector authorized traffic around the TFR and handle any potential intruders."
"FAAO 7110.65 2-1-20","Special Use Airspace (SUA), such as a Military Operations Area (MOA) or Restricted Area, requires coordination. Before clearing an aircraft through an active MOA, the controller must coordinate with the using agency. For Restricted Areas, no aircraft may enter when active without permission from the controlling agency. Controllers must vector traffic around active restricted airspace."
"AIM 4-3-24","Noise abatement procedures are established to reduce aircraft noise over populated areas. These can include preferential runway use, specific departure paths, or restrictions on engine run-ups. Controllers must be familiar with their facility's noise abatement procedures and issue instructions that comply with them, unless a pilot requests a different procedure for safety reasons."
"FAAO 7110.65 3-10-4","Simultaneous operations on intersecting runways are permitted if specific criteria are met. The controller must ensure that the flight paths of the two aircraft do not intersect and that separation is maintained. For example, a landing aircraft must have crossed the intersection before a departing aircraft begins its takeoff roll from the other runway. This requires precise timing and judgment."
"FAAO 7110.65 5-9-5","Category II/III ILS operations require a protected ILS critical area when the weather is below 800 feet ceiling or 2 miles visibility. This means no aircraft or vehicle can be in the critical area while an aircraft is inside the final approach fix. Separation between successive ILS approaches is also increased to ensure signal integrity."
"AIM 7-3-6","Reduced Vertical Separation Minima (RVSM) allows for 1,000 feet of vertical separation between aircraft from FL290 to FL410. Both the aircraft and the pilot must be RVSM-certified. If a pilot reports 'negative RVSM,' the controller must provide 2,000 feet of vertical separation from all other aircraft. Phraseology: 'Confirm RVSM approved.'"
"AIM 4-4-11","When a pilot reports a TCAS Resolution Advisory (RA), such as 'TCAS Climb,' the controller must not issue any instructions that conflict with the RA. The pilot is expected to follow the RA. The controller's responsibility for separation is suspended for that specific conflict but resumes once the pilot reports 'Clear of conflict.'"
"FAAO 7110.65 9-2-13","For non-standard formation flights, where aircraft are more than 1 mile apart, the controller must apply separation to the leading and trailing edges of the formation. The pilot of the lead aircraft is still responsible for separation within the formation, but ATC is responsible for separating the entire formation from other traffic."
"FAAO 7110.65 9-2-14","Unmanned Aircraft Systems (UAS) operations require coordination. If a UAS experiences a 'lost link' event, it may behave unpredictably. The controller should be aware of the UAS's lost link procedures and clear other traffic from the area. The controller's primary role is to ensure the safety of manned aircraft."
"FAAO 7110.65 9-4-1","Airshows and other special events often require a Temporary Flight Restriction (TFR). The controlling facility is responsible for disseminating the TFR information and ensuring no unauthorized aircraft enter the restricted airspace. Coordination with the event organizers is essential for managing the scheduled aerial activities."
"FAAO 7110.65 9-2-3","For parachute jump operations, the controller must be aware of the jump aircraft's location and the intended jump zone. The controller should issue traffic advisories to both the jump aircraft and other aircraft in the vicinity. Phraseology: 'Attention all aircraft, parachute jumping in the vicinity of [location] from [altitude].'"
"AIM 4-5-4","Glider operations often occur near airports and can involve winch or aerotow launches. Controllers should be aware of local glider activity and provide traffic advisories. Gliders have the right-of-way over powered aircraft, and pilots of powered aircraft should be extra vigilant in areas of known glider operations."
"FAAO 7110.65 2-1-3","Flight Check aircraft are used to calibrate navigational aids and have priority over all other traffic except aircraft in distress. These aircraft often fly non-standard routes and altitudes. Controllers must coordinate their movements and provide separation from other traffic while accommodating their mission requirements."
"FAAO 7110.65 5-5-4 Note 4","Wake Turbulence Recategorization (RECAT) is an advanced separation standard used at some busy airports. It replaces the traditional weight-based wake categories with a more detailed system based on wingspan and approach speed. This allows for reduced separation in some cases, increasing airport capacity. Controllers must be specifically trained on RECAT procedures."
